run_index,run_id,model_id,aptamer_id,serial_number,aptamer_name,nucleic_acid_type,aptamer_length,target_normalized,target_type,target_length,target_source_database,target_source_id,target_match,resolution_method,validation_reason,experimental_affinity_raw,experimental_kd_nm,doi,pubmed,yaml_path
11,task5_0011,UTEXAS_10000016_R18,UTEXAS_10000016,10000016,22B,RNA,79,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd: exhibits biphasic binding, 0.13 ± 0.03 nM, 510 ± 30 nM",0.13,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0011.yaml
12,task5_0012,UTEXAS_10000017_R19,UTEXAS_10000017,10000017,28B,RNA,79,Basic fibroblast growth factor (bFGF),protein,288,UniProt,P09038,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd: exhibits biphasic binding, 0.32 ± 0.07 nM, 140 ± 80 nM",0.32,https://doi.org/10.1073/pnas.90.23.11227,https://pubmed.ncbi.nlm.nih.gov/7504300/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0012.yaml
13,task5_0013,UTEXAS_10000073_R78,UTEXAS_10000073,10000073,100,RNA,76,Vascular Endothelial Growth Factor (VEGF),protein,419,UniProt,P49767,Vascular endothelial growth factor C (VEGF-C) (Flt4 ligand) (Flt4-L) (Vascular endothelial growth factor-related protein) (VRP),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd1: 0.20 ± 0.02 nM
Kd2: 42 ± 30 nM
",0.2,https://doi.org/10.1021/bi00200a028,https://pubmed.ncbi.nlm.nih.gov/7520755/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0013.yaml
14,task5_0014,UTEXAS_10000080_R85,UTEXAS_10000080,10000080,44,RNA,80,Vascular Endothelial Growth Factor (VEGF),protein,419,UniProt,P49767,Vascular endothelial growth factor C (VEGF-C) (Flt4 ligand) (Flt4-L) (Vascular endothelial growth factor-related protein) (VRP),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd1: 1.7 ±0.5 nM
Kd2: 38 ±32 nM",1.7,https://doi.org/10.1021/bi00200a028,https://pubmed.ncbi.nlm.nih.gov/7520755/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0014.yaml
15,task5_0015,UTEXAS_10000081_R86,UTEXAS_10000081,10000081,12,RNA,77,Vascular Endothelial Growth Factor (VEGF),protein,419,UniProt,P49767,Vascular endothelial growth factor C (VEGF-C) (Flt4 ligand) (Flt4-L) (Vascular endothelial growth factor-related protein) (VRP),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd1: 0.48 ± 0.07 nM
Kd2: 21 ±5 nM",0.48,https://doi.org/10.1021/bi00200a028,https://pubmed.ncbi.nlm.nih.gov/7520755/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0015.yaml
16,task5_0016,UTEXAS_10000082_R87,UTEXAS_10000082,10000082,40,RNA,77,Vascular Endothelial Growth Factor (VEGF),protein,419,UniProt,P49767,Vascular endothelial growth factor C (VEGF-C) (Flt4 ligand) (Flt4-L) (Vascular endothelial growth factor-related protein) (VRP),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd1: 0.19 ±0.09 nM
Kd2: 10 ± 1 nM",0.19,https://doi.org/10.1021/bi00200a028,https://pubmed.ncbi.nlm.nih.gov/7520755/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0016.yaml
17,task5_0017,UTEXAS_10000083_R88,UTEXAS_10000083,10000083,84,RNA,83,Vascular Endothelial Growth Factor (VEGF),protein,419,UniProt,P49767,Vascular endothelial growth factor C (VEGF-C) (Flt4 ligand) (Flt4-L) (Vascular endothelial growth factor-related protein) (VRP),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd1: 0.82 ±0.2 nM
Kd2: 21 ± 5 nM",0.82,https://doi.org/10.1021/bi00200a028,https://pubmed.ncbi.nlm.nih.gov/7520755/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0017.yaml
18,task5_0018,UTEXAS_10000084_R89,UTEXAS_10000084,10000084,126,RNA,80,Vascular Endothelial Growth Factor (VEGF),protein,419,UniProt,P49767,Vascular endothelial growth factor C (VEGF-C) (Flt4 ligand) (Flt4-L) (Vascular endothelial growth factor-related protein) (VRP),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,"Kd1: 0.14 ±0.04 nM
Kd2: 11 ± 3 nM",0.14,https://doi.org/10.1021/bi00200a028,https://pubmed.ncbi.nlm.nih.gov/7520755/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0018.yaml
19,task5_0019,UTEXAS_10000097_R102,UTEXAS_10000097,10000097,W13 (clone 8),RNA,109,Tobramycin,ligand,,PubChem,36294,Tobramycin,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 4.3 ± 0.7 µM,4.3,https://doi.org/10.1016/1074-5521(95)90047-0,https://pubmed.ncbi.nlm.nih.gov/9383430/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0019.yaml
20,task5_0020,UTEXAS_10000098_R103,UTEXAS_10000098,10000098,X1,RNA,109,Tobramycin,ligand,,PubChem,36294,Tobramycin,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 3 ± 1 nM (high affinity component); 15.9 ± 0.7 µM (low affinity component),3,https://doi.org/10.1016/1074-5521(95)90047-0,https://pubmed.ncbi.nlm.nih.gov/9383430/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0020.yaml
21,task5_0021,UTEXAS_10000099_R104,UTEXAS_10000099,10000099,J6,RNA,109,Tobramycin,ligand,,PubChem,36294,Tobramycin,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 2 ± 1 nM (high affinity component); 6.0 ± 0.4 µM (low affinity component),2,https://doi.org/10.1016/1074-5521(95)90047-0,https://pubmed.ncbi.nlm.nih.gov/9383430/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0021.yaml
22,task5_0022,UTEXAS_10000142_R157,UTEXAS_10000142,10000142,DNAA,DNA,58,Isoleucyl-tRNA synthetase (tRNAIle),protein,1012,UniProt,Q9NSE4,"Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)",UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 1.5 uM,1500,https://doi.org/10.1073/pnas.93.7.2755,https://pubmed.ncbi.nlm.nih.gov/8610114/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0022.yaml
23,task5_0023,UTEXAS_10000144_R159,UTEXAS_10000144,10000144,V2 Hammerhead Ribozyme,RNA,89,Adenosine triphosphate (ATP),ligand,,PubChem,5957,Adenosine triphosphate,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Not reported,,PMID: 9257650 PMCID: PMC1369536,https://pubmed.ncbi.nlm.nih.gov/9257650/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0023.yaml
24,task5_0024,UTEXAS_10000146_R161,UTEXAS_10000146,10000146,30-8,DNA,75,"Thrombin, Human",protein,622,UniProt,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 0.4 nM,0.4,https://doi.org/10.1006/jmbi.1997.1275,https://pubmed.ncbi.nlm.nih.gov/9368651/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0024.yaml
25,task5_0025,UTEXAS_10000147_R162,UTEXAS_10000147,10000147,30-14,DNA,75,"Thrombin, Human",protein,622,UniProt,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 0.96 nM,0.96,https://doi.org/10.1006/jmbi.1997.1275,https://pubmed.ncbi.nlm.nih.gov/9368651/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0025.yaml
26,task5_0026,UTEXAS_10000148_R163,UTEXAS_10000148,10000148,30-16,DNA,75,"Thrombin, Human",protein,622,UniProt,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Not reported,,https://doi.org/10.1006/jmbi.1997.1275,https://pubmed.ncbi.nlm.nih.gov/9368651/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0026.yaml
27,task5_0027,UTEXAS_10000151_R166,UTEXAS_10000151,10000151,30-38,DNA,75,"Thrombin, Human",protein,622,UniProt,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Not reported,,https://doi.org/10.1006/jmbi.1997.1275,https://pubmed.ncbi.nlm.nih.gov/9368651/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0027.yaml
28,task5_0028,UTEXAS_10000154_R169,UTEXAS_10000154,10000154,60-18,DNA,105,"Thrombin, Human",protein,622,UniProt,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_1.000,Kd: 0.92 nM,0.92,https://doi.org/10.1006/jmbi.1997.1275,https://pubmed.ncbi.nlm.nih.gov/9368651/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0028.yaml
29,task5_0029,UTEXAS_10000162_R177,UTEXAS_10000162,10000162,70cam6,RNA,118,Chloramphenicol (Cam),ligand,,PubChem,5959,Chloramphenicol,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 2.1 ±  0.3 µM,2100,https://doi.org/10.1016/s1074-5521(97)90116-2,https://pubmed.ncbi.nlm.nih.gov/9384530/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0029.yaml
30,task5_0030,UTEXAS_10000163_R178,UTEXAS_10000163,10000163,70cam9,RNA,118,Chloramphenicol (Cam),ligand,,PubChem,5959,Chloramphenicol,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 8 ±  4 µM,8000,https://doi.org/10.1016/s1074-5521(97)90116-2,https://pubmed.ncbi.nlm.nih.gov/9384530/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0030.yaml
31,task5_0031,UTEXAS_10000164_R179,UTEXAS_10000164,10000164,70cam53,RNA,117,Chloramphenicol (Cam),ligand,,PubChem,5959,Chloramphenicol,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 7 ±  2 µM,7000,https://doi.org/10.1016/s1074-5521(97)90116-2,https://pubmed.ncbi.nlm.nih.gov/9384530/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0031.yaml
32,task5_0032,UTEXAS_10000165_R180,UTEXAS_10000165,10000165,80Cm50*,RNA,133,Chloramphenicol (Cam),ligand,,PubChem,5959,Chloramphenicol,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 25 ±  3 µM,25000,https://doi.org/10.1016/s1074-5521(97)90116-2,https://pubmed.ncbi.nlm.nih.gov/9384530/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0032.yaml
33,task5_0033,UTEXAS_10000189_R209,UTEXAS_10000189,10000189,14F,RNA,69,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: biphasic 0.001 nM Ki: 3.3 nM,0.001,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0033.yaml
34,task5_0034,UTEXAS_10000190_R210,UTEXAS_10000190,10000190,6F,RNA,72,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: biphasic 0.05 nM Ki: 1.3 nM,0.05,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0034.yaml
35,task5_0035,UTEXAS_10000191_R211,UTEXAS_10000191,10000191,15F,RNA,70,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: biphasic 0.07 nM Ki: 6.7 nM,0.07,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0035.yaml
36,task5_0036,UTEXAS_10000193_R213,UTEXAS_10000193,10000193,37F,RNA,70,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 0.46 nM Ki: 6.7 nM,0.47,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0036.yaml
37,task5_0037,UTEXAS_10000194_R214,UTEXAS_10000194,10000194,13F,RNA,70,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: biphasic 0.03 nM Ki: 10.0 nM,0.03,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0037.yaml
38,task5_0038,UTEXAS_10000195_R215,UTEXAS_10000195,10000195,50F,RNA,69,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: biphasic 0.12 nM,0.12,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0038.yaml
39,task5_0039,UTEXAS_10000197_R217,UTEXAS_10000197,10000197,10F,RNA,71,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 0.47 nM Ki: 10.0 nM,0.47,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0039.yaml
40,task5_0040,UTEXAS_10000198_R218,UTEXAS_10000198,10000198,43F,RNA,49,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 1.13 nM Ki: 16.7 nM,1.13,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0040.yaml
41,task5_0041,UTEXAS_10000199_R219,UTEXAS_10000199,10000199,14N,RNA,71,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 0.4 nM Ki: 2.0 nM,0.4,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0041.yaml
42,task5_0042,UTEXAS_10000200_R220,UTEXAS_10000200,10000200,4N,RNA,71,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 0.7 nM Ki: 23.3 nM,0.7,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0042.yaml
43,task5_0043,UTEXAS_10000201_R221,UTEXAS_10000201,10000201,1N,RNA,71,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 0.5 nM Ki: 16.7 nM,0.5,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0043.yaml
44,task5_0044,UTEXAS_10000202_R222,UTEXAS_10000202,10000202,29N,RNA,65,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 0.43 nM Ki: 13.3 nM,0.43,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0044.yaml
45,task5_0045,UTEXAS_10000203_R223,UTEXAS_10000203,10000203,6N,RNA,71,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 0.7 nM Ki: 26.7 nM,0.7,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0045.yaml
46,task5_0046,UTEXAS_10000204_R224,UTEXAS_10000204,10000204,2N,RNA,71,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 0.8 nM Ki: 66.7 nM,0.8,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0046.yaml
47,task5_0047,UTEXAS_10000205_R225,UTEXAS_10000205,10000205,24N,RNA,71,"Keratinocyte growth factor (hKGF), Human",protein,208,UniProt,O15520,Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2),UNIPROT_NAME_SCORE_2.000,STRONG_NAME_MATCH_0.750,Kd: 1.2 nM,1.2,https://doi.org/10.1038/nbt0197-68,https://pubmed.ncbi.nlm.nih.gov/9035109/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0047.yaml
48,task5_0048,UTEXAS_10000215_R236,UTEXAS_10000215,10000215,XBA RNA,RNA,32,Guanine,ligand,,PubChem,135398634,Guanine,PUBCHEM_NAME,PUBCHEM_NAME_WITH_SMILES,Kd: 1.3 µM,1300,https://doi.org/10.1093/nar/26.7.1755,https://pubmed.ncbi.nlm.nih.gov/9512549/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0048.yaml
49,task5_0049,UTEXAS_10000216_R237,UTEXAS_10000216,10000216,APC-167,RNA,167,"Activated protein C (APC), Human",protein,2843,UniProt,P25054,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),UNIPROT_EXACT_GENE,UNIPROT_EXACT_GENE,Ki: 83 ± 17 nM,,https://doi.org/10.1046/j.1432-1327.1998.2520553.x,https://pubmed.ncbi.nlm.nih.gov/9546673/,/projects/bentosprg6/linwx/research_project/data/task5/boltz_inputs/task5_0049.yaml
