task6_index,input_name,json_path,model_id,aptamer_id,target_normalized,nucleic_acid_type,protein_length,aptamer_length,total_polymer_length,kd_nm,boltz_target,split
10,task6_0010_utexas_10000190_r210,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0010_utexas_10000190_r210.json,UTEXAS_10000190_R210,UTEXAS_10000190,"Keratinocyte growth factor (hKGF), Human",RNA,208,72,280,0.05,-4.301029995663981,train
11,task6_0011_utexas_10000195_r215,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0011_utexas_10000195_r215.json,UTEXAS_10000195_R215,UTEXAS_10000195,"Keratinocyte growth factor (hKGF), Human",RNA,208,69,277,0.12,-3.9208187539523753,train
12,task6_0012_utexas_10000015_r17,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0012_utexas_10000015_r17.json,UTEXAS_10000015_R17,UTEXAS_10000015,Basic fibroblast growth factor (bFGF),RNA,288,79,367,0.19,-3.721246399047171,train
13,task6_0013_utexas_10000082_r87,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0013_utexas_10000082_r87.json,UTEXAS_10000082_R87,UTEXAS_10000082,Vascular Endothelial Growth Factor (VEGF),RNA,419,77,496,0.19,-3.721246399047171,train
14,task6_0014_utexas_10000199_r219,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0014_utexas_10000199_r219.json,UTEXAS_10000199_R219,UTEXAS_10000199,"Keratinocyte growth factor (hKGF), Human",RNA,208,71,279,0.4,-3.397940008672037,train
15,task6_0015_utexas_10000074_r79,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0015_utexas_10000074_r79.json,UTEXAS_10000074_R79,UTEXAS_10000074,Vascular Endothelial Growth Factor (VEGF),RNA,419,31,450,0.42,-3.3767507096021,train
16,task6_0016_utexas_10000202_r222,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0016_utexas_10000202_r222.json,UTEXAS_10000202_R222,UTEXAS_10000202,"Keratinocyte growth factor (hKGF), Human",RNA,208,65,273,0.43,-3.3665315444204134,train
17,task6_0017_utexas_10000193_r213,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0017_utexas_10000193_r213.json,UTEXAS_10000193_R213,UTEXAS_10000193,"Keratinocyte growth factor (hKGF), Human",RNA,208,70,278,0.47,-3.3279021420642825,train
18,task6_0018_utexas_10000075_r80,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0018_utexas_10000075_r80.json,UTEXAS_10000075_R80,UTEXAS_10000075,Vascular Endothelial Growth Factor (VEGF),RNA,419,35,454,0.48,-3.318758762624413,train
19,task6_0019_utexas_10000081_r86,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0019_utexas_10000081_r86.json,UTEXAS_10000081_R86,UTEXAS_10000081,Vascular Endothelial Growth Factor (VEGF),RNA,419,77,496,0.48,-3.318758762624413,train
20,task6_0020_utexas_10000013_r15,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0020_utexas_10000013_r15.json,UTEXAS_10000013_R15,UTEXAS_10000013,Basic fibroblast growth factor (bFGF),RNA,288,79,367,0.51,-3.292429823902064,train
21,task6_0021_utexas_10000311_r333,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0021_utexas_10000311_r333.json,UTEXAS_10000311_R333,UTEXAS_10000311,"Basic fibroblast growth factor (bFGF(155)), Human",DNA,288,61,349,0.56,-3.2518119729937998,train
22,task6_0022_utexas_10001411_r1460,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0022_utexas_10001411_r1460.json,UTEXAS_10001411_R1460,UTEXAS_10001411,Coagulation Factor IXa (FIXa),RNA,461,34,495,0.58,-3.2365720064370627,train
23,task6_0023_utexas_10001410_r1459,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0023_utexas_10001410_r1459.json,UTEXAS_10001410_R1459,UTEXAS_10001410,Coagulation Factor IXa (FIXa),RNA,461,48,509,0.65,-3.1870866433571443,train
24,task6_0024_utexas_10000200_r220,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0024_utexas_10000200_r220.json,UTEXAS_10000200_R220,UTEXAS_10000200,"Keratinocyte growth factor (hKGF), Human",RNA,208,71,279,0.7,-3.154901959985743,train
25,task6_0025_utexas_10000204_r224,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0025_utexas_10000204_r224.json,UTEXAS_10000204_R224,UTEXAS_10000204,"Keratinocyte growth factor (hKGF), Human",RNA,208,71,279,0.8,-3.096910013008056,train
26,task6_0026_utexas_10000076_r81,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0026_utexas_10000076_r81.json,UTEXAS_10000076_R81,UTEXAS_10000076,Vascular Endothelial Growth Factor (VEGF),RNA,419,29,448,1.1,-2.958607314841775,train
27,task6_0027_utexas_10000198_r218,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0027_utexas_10000198_r218.json,UTEXAS_10000198_R218,UTEXAS_10000198,"Keratinocyte growth factor (hKGF), Human",RNA,208,49,257,1.13,-2.9469215565165805,train
28,task6_0028_utexas_10000205_r225,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0028_utexas_10000205_r225.json,UTEXAS_10000205_R225,UTEXAS_10000205,"Keratinocyte growth factor (hKGF), Human",RNA,208,71,279,1.2,-2.920818753952376,train
29,task6_0029_utexas_10000079_r84,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0029_utexas_10000079_r84.json,UTEXAS_10000079_R84,UTEXAS_10000079,Vascular Endothelial Growth Factor (VEGF),RNA,419,35,454,1.4,-2.853871964321762,train
30,task6_0030_utexas_10000574_r603,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0030_utexas_10000574_r603.json,UTEXAS_10000574_R603,UTEXAS_10000574,Vascular endothelial growth factor (VEGF),RNA,419,83,502,2.1,-2.6777807052660805,train
31,task6_0031_utexas_10001186_r1230,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0031_utexas_10001186_r1230.json,UTEXAS_10001186_R1230,UTEXAS_10001186,"Osteoponin (OPN), Human",DNA,314,70,384,2.5,-2.6020599913279625,train
32,task6_0032_utexas_10000010_r12,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0032_utexas_10000010_r12.json,UTEXAS_10000010_R12,UTEXAS_10000010,Basic fibroblast growth factor (bFGF),RNA,288,77,365,3.2,-2.4948500216800937,train
33,task6_0033_utexas_10001427_r1480,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0033_utexas_10001427_r1480.json,UTEXAS_10001427_R1480,UTEXAS_10001427,Epithelial cell adhesion molecule (EpCAM),RNA,315,34,349,3.49,-2.4571745730408203,train
34,task6_0034_utexas_10000009_r11,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0034_utexas_10000009_r11.json,UTEXAS_10000009_R11,UTEXAS_10000009,Basic fibroblast growth factor (bFGF),RNA,288,77,365,5.0,-2.3010299956639813,train
35,task6_0035_utexas_10000904_r944,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0035_utexas_10000904_r944.json,UTEXAS_10000904_R944,UTEXAS_10000904,Prostate-specific antigen (PSA),RNA,261,83,344,6.3,-2.2006594505464183,train
36,task6_0036_utexas_10000012_r14,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0036_utexas_10000012_r14.json,UTEXAS_10000012_R14,UTEXAS_10000012,Basic fibroblast growth factor (bFGF),RNA,288,77,365,8.1,-2.0915149811213505,train
37,task6_0037_utexas_10000903_r943,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0037_utexas_10000903_r943.json,UTEXAS_10000903_R943,UTEXAS_10000903,Prostate-specific antigen (PSA),RNA,261,83,344,8.7,-2.0604807473813818,train
38,task6_0038_utexas_10001327_r1371,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0038_utexas_10001327_r1371.json,UTEXAS_10001327_R1371,UTEXAS_10001327,Double homeobox protein 4 (DUX4),RNA,374,71,445,20.0,-1.6989700043360187,train
39,task6_0039_utexas_10001265_r1309,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0039_utexas_10001265_r1309.json,UTEXAS_10001265_R1309,UTEXAS_10001265,Neutrophil gelatinase-associated lipocalin (NGAL),DNA,198,75,273,43.59,-1.360613130982316,train
40,task6_0040_utexas_10001224_r1268,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0040_utexas_10001224_r1268.json,UTEXAS_10001224_R1268,UTEXAS_10001224,"Odontogenic ameloblast-associated protein (ODAM), Human",DNA,279,56,335,47.0,-1.3279021420642825,train
41,task6_0041_utexas_10001133_r1176,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0041_utexas_10001133_r1176.json,UTEXAS_10001133_R1176,UTEXAS_10001133,Aflatoxin B1 (AFB1),DNA,331,80,411,48.29,-1.3161427945996536,train
42,task6_0042_utexas_10001132_r1175,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0042_utexas_10001132_r1175.json,UTEXAS_10001132_R1175,UTEXAS_10001132,Aflatoxin B1 (AFB1),DNA,331,80,411,50.45,-1.2971388294270707,train
43,task6_0043_utexas_10001225_r1269,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0043_utexas_10001225_r1269.json,UTEXAS_10001225_R1269,UTEXAS_10001225,"Odontogenic ameloblast-associated protein (ODAM), Human",DNA,279,56,335,51.36,-1.289374984939203,train
44,task6_0044_utexas_10001370_r1418,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0044_utexas_10001370_r1418.json,UTEXAS_10001370_R1418,UTEXAS_10001370,"Vaccinia-related kinase (VRK1), Human",DNA,396,74,470,60.06,-1.2214146721370378,train
45,task6_0045_utexas_10000751_r783,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0045_utexas_10000751_r783.json,UTEXAS_10000751_R783,UTEXAS_10000751,Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1),DNA,365,74,439,111.0,-0.9546770212133424,train
46,task6_0046_utexas_10001297_r1341,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0046_utexas_10001297_r1341.json,UTEXAS_10001297_R1341,UTEXAS_10001297,Prostate-specific antigen (PSA),DNA,261,40,301,177.0,-0.7520267336381932,train
47,task6_0047_utexas_10000671_r703,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0047_utexas_10000671_r703.json,UTEXAS_10000671_R703,UTEXAS_10000671,Anti-neuroexcitation peptide III (ANEPIII),DNA,85,106,191,228.4,-0.6413039004261893,train
48,task6_0048_utexas_10000673_r705,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0048_utexas_10000673_r705.json,UTEXAS_10000673_R705,UTEXAS_10000673,Anti-neuroexcitation peptide III (ANEPIII),DNA,85,88,173,228.4,-0.6413039004261893,train
49,task6_0049_utexas_10000674_r706,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0049_utexas_10000674_r706.json,UTEXAS_10000674_R706,UTEXAS_10000674,Anti-neuroexcitation peptide III (ANEPIII),DNA,85,88,173,228.4,-0.6413039004261893,train
50,task6_0050_utexas_10000670_r702,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0050_utexas_10000670_r702.json,UTEXAS_10000670_R702,UTEXAS_10000670,Anti-neuroexcitation peptide III (ANEPIII),DNA,85,97,182,228.4,-0.6413039004261893,train
51,task6_0051_utexas_10000669_r701,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0051_utexas_10000669_r701.json,UTEXAS_10000669_R701,UTEXAS_10000669,Anti-neuroexcitation peptide III (ANEPIII),DNA,85,97,182,228.4,-0.6413039004261893,train
52,task6_0052_utexas_10000589_r618,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0052_utexas_10000589_r618.json,UTEXAS_10000589_R618,UTEXAS_10000589,DNA polymerase beta (polβ),RNA,335,80,415,290.0,-0.5376020021010439,train
53,task6_0053_utexas_10000590_r620,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0053_utexas_10000590_r620.json,UTEXAS_10000590_R620,UTEXAS_10000590,DNA polymerase beta (polβ),RNA,335,80,415,430.0,-0.3665315444204133,train
54,task6_0054_utexas_10000592_r623,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0054_utexas_10000592_r623.json,UTEXAS_10000592_R623,UTEXAS_10000592,DNA polymerase beta (polβ),RNA,335,80,415,490.0,-0.3098039199714861,train
55,task6_0055_utexas_10000349_r371,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0055_utexas_10000349_r371.json,UTEXAS_10000349_R371,UTEXAS_10000349,N6-adenine,RNA,365,98,463,10000.0,1.0,train
56,task6_0056_utexas_10000578_r607,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0056_utexas_10000578_r607.json,UTEXAS_10000578_R607,UTEXAS_10000578,Streptavidin,DNA,183,96,279,56.7,-1.2464169411070931,validation
57,task6_0057_utexas_10000580_r609,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0057_utexas_10000580_r609.json,UTEXAS_10000580_R609,UTEXAS_10000580,Streptavidin,DNA,183,95,278,59.0,-1.2291479883578558,validation
58,task6_0058_utexas_10000579_r608,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0058_utexas_10000579_r608.json,UTEXAS_10000579_R608,UTEXAS_10000579,Streptavidin,DNA,183,94,277,65.5,-1.1837587000082168,validation
59,task6_0059_utexas_10000768_r802,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0059_utexas_10000768_r802.json,UTEXAS_10000768_R802,UTEXAS_10000768,Streptavidin,DNA,183,81,264,69.277,-1.1594109274522515,validation
60,task6_0060_utexas_10000577_r606,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0060_utexas_10000577_r606.json,UTEXAS_10000577_R606,UTEXAS_10000577,Streptavidin,DNA,183,96,279,85.2,-1.0695604052333,validation
61,task6_0061_utexas_10000769_r803,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0061_utexas_10000769_r803.json,UTEXAS_10000769_R803,UTEXAS_10000769,Streptavidin,DNA,183,81,264,94.228,-1.0258200267337023,validation
62,task6_0062_utexas_10000770_r804,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0062_utexas_10000770_r804.json,UTEXAS_10000770_R804,UTEXAS_10000770,Streptavidin,DNA,183,81,264,104.265,-0.9818614524346808,validation
63,task6_0063_utexas_10000358_r380,/projects/bentosprg6/linwx/research_project/data/task6/af3_inputs/task6_0063_utexas_10000358_r380.json,UTEXAS_10000358_R380,UTEXAS_10000358,Neuropeptide Y (NPY),RNA,97,91,188,370.0,-0.431798275933005,validation
